participant_id	age	sex	edu	nlang	ahrq_score	manipulationfactor	orthographicfactor	verbalfactor	visualfactor	ideal_l2_self	instrumentality	intl_contact	l2_interest	l2_anxiety	l2_confidence	milieu	usage_willingness	ind_mus_train_imt	ind_mus_listening_iml	mus_instr_play_imip	cognitive_and_emotional_regulation	social_connection	engaged_production	dance	physical_exercise	swt_score_cs	swt_score_us	hand_index	bsmss
sub-pp120	22.8	f	15	3	0.402173913043477	3.875	2.83333333333333	4.66666666666667	4.1	80	86.6666666666667	85	65	73.3333333333333	30	100	65	2	10	0	38	10	13	6	16	4	3	55	64.5
sub-pp124	20.8	m	14	4	0.499999999999999	2.375	1.16666666666667	2.33333333333333	3.7	64	83.3333333333333	55	70	53.3333333333333	55	80	70	0	8	0	29	12	10	2	16	5	4	100	50
sub-pp125	22.3	f	16	5	0.228260869565217	4	2.66666666666667	3	3.7	80	90	80	75	53.3333333333333	65	80	92.5	4	10	6	25	9	36	2	11	10	10	100	61.5
sub-pp126	21.8	f	15	4	0.195652173913042	2.875	2.33333333333333	3.33333333333333	3.8	88	90	100	85	66.6666666666667	70	90	70	2	15	0.125	31	15	9	2	16	8	3	70	44.5
sub-pp127	20.8	f	14	6	0.239130434782607	2.375	3.33333333333333	3.41666666666667	5	100	100	100	95	73.3333333333333	65	95	80	2	15	0	42	17	17	8	16	8	5	100	43.7
sub-pp128	26.5	m	16	1	0.33695652173913	3.125	3	3.58333333333333	4.1	76	86.6666666666667	95	75	53.3333333333333	50	80	60	0	20	0	40	14	41	10	17			80	26.3
sub-pp129	19.7	f	15	7	0.271739130434783	4.5	2.66666666666667	3.16666666666667	1.6	92	100	100	80	20	90	85	87.5	2	15	0.125	32	12	40	9	9	10	5	95	63
sub-pp133	21.8	m	15	8	0.423913043478262	3.625	3	3.33333333333333	3.6	76	83.3333333333333	80	70	60	55	70	77.5	0	10	0	33	13	9	2	10	3	3	70	11
sub-pp135	24.9	f	17	4	0.27173913043478	4.25	3.66666666666667	4.16666666666667	4.3	72	73.3333333333333	90	90	46.6666666666667	70	100	52.5	4	15	0.875	36	10	26	7	14	7	3	70	66
sub-pp137	18.7	f	12	4	0.369565217391305	3.5	2	4	4	76	100	85	90	33.3333333333333	70	95	85	0	15	0.25	38	11	16	3	14	13	5	35	24
